VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,068,B027,50728,27.0090,-93.9948,1007.61,20MAY2016:17:52:55,20MAY2016:18:03:36,10.68,W,01,05,177,Thunnus spp,12,,SeaCAt working but went out on the last dip Max fishing depth was 13 because SeaCat went out and had to use wire angle,,2,101,201,1006,27.51,21.38,16.97,33.885,36.428,36.265,6.5,6.3,4.1
04,0317,068,B027,50728,27.0090,-93.9948,1007.61,20MAY2016:17:52:55,20MAY2016:18:03:36,10.68,W,01,05,177,Thunnus thynnus,12,,SeaCAt working but went out on the last dip Max fishing depth was 13 because SeaCat went out and had to use wire angle,,2,101,201,1006,27.51,21.38,16.97,33.885,36.428,36.265,6.5,6.3,4.1
04,0317,069,B312,50732,26.9997,-94.4810,1214.99,20MAY2016:21:45:14,20MAY2016:21:55:25,10.18,W,01,05,170,Katsuwonus pelamis,1,,SeaCat reterminated,,2,102,203,1221,27.89,19.66,15.3,32.991,36.449,36.014,6.6,4.6,4
04,0317,069,B312,50732,26.9997,-94.4810,1214.99,20MAY2016:21:45:14,20MAY2016:21:55:25,10.18,W,01,05,170,Thunnus spp,0,,SeaCat reterminated,,2,102,203,1221,27.89,19.66,15.3,32.991,36.449,36.014,6.6,4.6,4
04,0317,069,B312,50732,26.9997,-94.4810,1214.99,20MAY2016:21:45:14,20MAY2016:21:55:25,10.18,W,01,05,170,Thunnus thynnus,20,,SeaCat reterminated,,2,102,203,1221,27.89,19.66,15.3,32.991,36.449,36.014,6.6,4.6,4
04,0317,070,B028,50737,26.9987,-95.0037,1487.30,21MAY2016:02:53:18,21MAY2016:03:03:21,10.05,W,01,05,157,Katsuwonus pelamis,0,,No SeaCat,,2,101,201,1490,26.51,18.63,14.27,35.26,36.46,35.851,6.5,4,3.9
04,0317,070,B028,50737,26.9987,-95.0037,1487.30,21MAY2016:02:53:18,21MAY2016:03:03:21,10.05,W,01,05,157,Thunnus spp,0,,No SeaCat,,2,101,201,1490,26.51,18.63,14.27,35.26,36.46,35.851,6.5,4,3.9
04,0317,070,B028,50737,26.9987,-95.0037,1487.30,21MAY2016:02:53:18,21MAY2016:03:03:21,10.05,W,01,05,157,Thunnus thynnus,1,,No SeaCat,,2,101,201,1490,26.51,18.63,14.27,35.26,36.46,35.851,6.5,4,3.9
04,0317,071,B052,50742,26.5092,-95.0143,1688.31,21MAY2016:06:47:24,21MAY2016:06:57:40,10.26,W,01,05,154,Katsuwonus pelamis,0,,,,3,101,202,1699,26.32,20.78,12.44,35.508,36.464,35.56,6.6,5.1,3.5
04,0317,071,B052,50742,26.5092,-95.0143,1688.31,21MAY2016:06:47:24,21MAY2016:06:57:40,10.26,W,01,05,154,Thunnus spp,0,,,,3,101,202,1699,26.32,20.78,12.44,35.508,36.464,35.56,6.6,5.1,3.5
