VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,020,B007,50491,25.0055,-84.9965,3349.00,03MAY2016:19:56:04,03MAY2016:20:06:08,10.06,H,03,09,.,Thunnus thynnus,0,,,,2,100,200,3349,28.57,21.22,17,36.395,36.821,36.318,6.4,4.8,4.8
04,0317,021,B072,50496,24.5200,-84.9942,3389.00,04MAY2016:01:34:33,04MAY2016:01:44:33,10.00,H,03,09,.,Katsuwonus pelamis,0,,,,2,101,201,3389,28.39,23.04,16.95,36.346,36.725,36.314,6.2,5.1,4.8
04,0317,021,B072,50496,24.5200,-84.9942,3389.00,04MAY2016:01:34:33,04MAY2016:01:44:33,10.00,H,03,09,.,Thunnus spp,1,,,,2,101,201,3389,28.39,23.04,16.95,36.346,36.725,36.314,6.2,5.1,4.8
04,0317,021,B072,50496,24.5200,-84.9942,3389.00,04MAY2016:01:34:33,04MAY2016:01:44:33,10.00,H,03,09,.,Thunnus thynnus,0,,,,2,101,201,3389,28.39,23.04,16.95,36.346,36.725,36.314,6.2,5.1,4.8
04,0317,022,B266,50501,24.6673,-85.5122,3374.50,04MAY2016:05:40:00,04MAY2016:05:50:02,10.03,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,101,201,3374,27.45,18.87,15.81,36.46,36.578,36.11,6.4,4.7,4.5
04,0317,023,B262,50506,25.0020,-85.5012,3301.30,04MAY2016:09:03:56,04MAY2016:09:13:58,10.03,H,03,09,.,Auxis spp,3,"ventral pigment row, but no cleithral pigment.",170MM EXOCOETIDAE REMOVED FROM NEUSTON,,2,101,201,3301,27.47,19.68,16.17,36.465,36.592,36.171,6.4,4.8,4.6
04,0317,023,B262,50506,25.0020,-85.5012,3301.30,04MAY2016:09:03:56,04MAY2016:09:13:58,10.03,H,03,09,.,Katsuwonus pelamis,0,,170MM EXOCOETIDAE REMOVED FROM NEUSTON,,2,101,201,3301,27.47,19.68,16.17,36.465,36.592,36.171,6.4,4.8,4.6
04,0317,023,B262,50506,25.0020,-85.5012,3301.30,04MAY2016:09:03:56,04MAY2016:09:13:58,10.03,H,03,09,.,Thunnus spp,3,,170MM EXOCOETIDAE REMOVED FROM NEUSTON,,2,101,201,3301,27.47,19.68,16.17,36.465,36.592,36.171,6.4,4.8,4.6
04,0317,023,B262,50506,25.0020,-85.5012,3301.30,04MAY2016:09:03:56,04MAY2016:09:13:58,10.03,H,03,09,.,Thunnus thynnus,0,,170MM EXOCOETIDAE REMOVED FROM NEUSTON,,2,101,201,3301,27.47,19.68,16.17,36.465,36.592,36.171,6.4,4.8,4.6
04,0317,024,B008,50511,24.9965,-86.0117,3292.20,04MAY2016:15:40:46,04MAY2016:15:50:47,10.01,H,03,09,.,Katsuwonus pelamis,0,,71MM HIPPOCAMPUS ERECTUS,,2,101,201,3292,26.94,22.61,17.58,36.182,36.771,36.398,6.4,5,4.7
04,0317,024,B008,50511,24.9965,-86.0117,3292.20,04MAY2016:15:40:46,04MAY2016:15:50:47,10.01,H,03,09,.,Thunnus spp,1,,71MM HIPPOCAMPUS ERECTUS,,2,101,201,3292,26.94,22.61,17.58,36.182,36.771,36.398,6.4,5,4.7
04,0317,024,B008,50511,24.9965,-86.0117,3292.20,04MAY2016:15:40:46,04MAY2016:15:50:47,10.01,H,03,09,.,Thunnus thynnus,0,,71MM HIPPOCAMPUS ERECTUS,,2,101,201,3292,26.94,22.61,17.58,36.182,36.771,36.398,6.4,5,4.7
04,0317,026,B074,50518,25.5025,-86.0132,3200.80,05MAY2016:14:46:43,05MAY2016:14:56:46,10.05,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,3,101,202,3201,26.54,26.14,22.52,36.329,36.312,36.893,6.4,6.3,4.9
04,0317,027,B006,50523,25.9897,-86.0002,3230.00,05MAY2016:18:19:45,05MAY2016:18:29:46,10.01,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,101,201,3230,26.42,25.89,25.62,36.3,36.285,36.537,6.4,6.4,5.5
04,0317,029,B005,50532,26.9912,-85.9963,3203.00,06MAY2016:02:44:41,06MAY2016:02:54:42,10.01,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,100,200,3203,26.53,24.92,18.81,36.41,36.429,36.545,6.4,6.3,4.4
04,0317,030,B078,50537,27.5022,-86.0057,3237.30,06MAY2016:07:12:43,06MAY2016:07:22:46,10.05,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,101,202,3237,24.64,18.39,13.6,36.266,36.405,35.736,6.6,4.3,4.1
04,0317,031,B163,50542,27.9988,-86.0118,1043.67,06MAY2016:10:59:20,06MAY2016:11:09:22,10.03,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,100,200,1006,25.86,20.06,14.71,36.467,36.568,35.93,6.4,4.5,4.1
04,0317,032,B164,50547,28.5112,-85.9908,340.08,06MAY2016:15:43:31,06MAY2016:15:53:34,10.05,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,102,203,346,25.84,21.1,16.35,36.486,36.471,36.182,6.5,5.8,4.1
04,0317,033,B170,50552,28.9948,-86.5000,393.48,06MAY2016:20:32:07,06MAY2016:20:42:10,10.05,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,102,203,389,24.8,20.96,16.69,36.408,36.512,36.258,6.6,5.3,4.6
04,0317,034,B002,50557,28.9940,-87.0018,717.31,07MAY2016:00:24:54,07MAY2016:00:34:55,10.01,H,03,09,.,Katsuwonus pelamis,0,,FOUR MONACANTHIDAE ALUTERUS SP REMOVED FROM SAMPLE 94mm 99mm 110mm AND 112mm,,2,101,201,706,24.7,20.9,15.95,36.41,36.529,36.127,6.7,5,4.3
04,0317,034,B002,50557,28.9940,-87.0018,717.31,07MAY2016:00:24:54,07MAY2016:00:34:55,10.01,H,03,09,.,Thunnus spp,1,,FOUR MONACANTHIDAE ALUTERUS SP REMOVED FROM SAMPLE 94mm 99mm 110mm AND 112mm,,2,101,201,706,24.7,20.9,15.95,36.41,36.529,36.127,6.7,5,4.3
04,0317,034,B002,50557,28.9940,-87.0018,717.31,07MAY2016:00:24:54,07MAY2016:00:34:55,10.01,H,03,09,.,Thunnus thynnus,1,,FOUR MONACANTHIDAE ALUTERUS SP REMOVED FROM SAMPLE 94mm 99mm 110mm AND 112mm,,2,101,201,706,24.7,20.9,15.95,36.41,36.529,36.127,6.7,5,4.3
04,0317,035,B080,50562,28.5047,-87.0097,895.09,07MAY2016:04:39:58,07MAY2016:04:49:59,10.01,H,03,09,.,Katsuwonus pelamis,4,,107mm Exocoetidae removed from sample,,2,101,201,905,25.18,18.72,13.17,36.374,36.499,35.668,6.5,4.3,4
04,0317,035,B080,50562,28.5047,-87.0097,895.09,07MAY2016:04:39:58,07MAY2016:04:49:59,10.01,H,03,09,.,Thunnus spp,0,,107mm Exocoetidae removed from sample,,2,101,201,905,25.18,18.72,13.17,36.374,36.499,35.668,6.5,4.3,4
04,0317,035,B080,50562,28.5047,-87.0097,895.09,07MAY2016:04:39:58,07MAY2016:04:49:59,10.01,H,03,09,.,Thunnus thynnus,0,,107mm Exocoetidae removed from sample,,2,101,201,905,25.18,18.72,13.17,36.374,36.499,35.668,6.5,4.3,4
04,0317,036,B003,50567,28.0050,-87.0002,2813.00,07MAY2016:08:54:50,07MAY2016:09:00:44,5.90,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,101,201,2813,24.45,18.63,11.18,36.365,36.37,35.381,6.7,4.5,4
04,0317,037,B079,50572,27.4973,-86.9927,3047.10,07MAY2016:12:41:38,07MAY2016:12:51:40,10.03,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,100,200,3047,25.61,21.05,14.9,36.452,36.535,35.956,6.5,5.3,4.2
