VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,052,B015,50645,27.0157,-89.9972,2459.72,10MAY2016:10:24:41,10MAY2016:10:43:32,18.85,O,01,03,259,Thunnus spp,5,,,,2,102,203,2495,25.72,20.6,15.43,36.53,36.594,36.037,6.4,4.5,4.3
04,0317,052,B015,50645,27.0157,-89.9972,2459.72,10MAY2016:10:24:41,10MAY2016:10:43:32,18.85,O,01,03,259,Thunnus thynnus,2,,,,2,102,203,2495,25.72,20.6,15.43,36.53,36.594,36.037,6.4,4.5,4.3
04,0317,053,B296,50650,26.9970,-90.4902,1622.15,10MAY2016:15:07:25,10MAY2016:15:27:59,20.56,O,01,03,291,Katsuwonus pelamis,0,,,,2,101,202,1597,24.64,19.98,15.6,36.24,36.498,36.061,6.7,4.6,4
04,0317,053,B296,50650,26.9970,-90.4902,1622.15,10MAY2016:15:07:25,10MAY2016:15:27:59,20.56,O,01,03,291,Thunnus spp,0,,,,2,101,202,1597,24.64,19.98,15.6,36.24,36.498,36.061,6.7,4.6,4
04,0317,053,B296,50650,26.9970,-90.4902,1622.15,10MAY2016:15:07:25,10MAY2016:15:27:59,20.56,O,01,03,291,Thunnus thynnus,8,,,,2,101,202,1597,24.64,19.98,15.6,36.24,36.498,36.061,6.7,4.6,4
04,0317,054,B018,50655,27.0140,-91.0002,1669.66,10MAY2016:19:03:31,10MAY2016:19:25:13,21.70,O,01,03,317,Katsuwonus pelamis,0,,,,2,101,201,1764,24.71,19.48,15.18,36.239,36.569,35.989,6.7,4.6,4.1
04,0317,054,B018,50655,27.0140,-91.0002,1669.66,10MAY2016:19:03:31,10MAY2016:19:25:13,21.70,O,01,03,317,Thunnus spp,0,,,,2,101,201,1764,24.71,19.48,15.18,36.239,36.569,35.989,6.7,4.6,4.1
04,0317,054,B018,50655,27.0140,-91.0002,1669.66,10MAY2016:19:03:31,10MAY2016:19:25:13,21.70,O,01,03,317,Thunnus thynnus,10,,,,2,101,201,1764,24.71,19.48,15.18,36.239,36.569,35.989,6.7,4.6,4.1
04,0317,055,B059,50660,26.5063,-90.9922,2198.93,11MAY2016:00:47:05,11MAY2016:01:08:34,21.48,O,01,03,315,Katsuwonus pelamis,0,,,,2,102,203,2162,24.91,19.6,14.98,36.232,36.49,35.96,6.6,4.5,4.2
04,0317,055,B059,50660,26.5063,-90.9922,2198.93,11MAY2016:00:47:05,11MAY2016:01:08:34,21.48,O,01,03,315,Thunnus spp,0,,,,2,102,203,2162,24.91,19.6,14.98,36.232,36.49,35.96,6.6,4.5,4.2
04,0317,055,B059,50660,26.5063,-90.9922,2198.93,11MAY2016:00:47:05,11MAY2016:01:08:34,21.48,O,01,03,315,Thunnus thynnus,1,,,,2,102,203,2162,24.91,19.6,14.98,36.232,36.49,35.96,6.6,4.5,4.2
04,0317,056,B019,50665,26.0110,-91.0115,2706.90,11MAY2016:05:15:18,11MAY2016:05:36:52,21.56,O,01,03,304,Katsuwonus pelamis,0,,FATHOMS SEACAT TIMED OUT 85M DOWN SO USED WIRE OUT AND WIRE ANGLE,,2,101,201,2707,24.59,19.81,15.13,36.208,36.493,35.986,6.7,4.5,4
04,0317,056,B019,50665,26.0110,-91.0115,2706.90,11MAY2016:05:15:18,11MAY2016:05:36:52,21.56,O,01,03,304,Thunnus spp,2,,FATHOMS SEACAT TIMED OUT 85M DOWN SO USED WIRE OUT AND WIRE ANGLE,,2,101,201,2707,24.59,19.81,15.13,36.208,36.493,35.986,6.7,4.5,4
04,0317,056,B019,50665,26.0110,-91.0115,2706.90,11MAY2016:05:15:18,11MAY2016:05:36:52,21.56,O,01,03,304,Thunnus thynnus,0,,FATHOMS SEACAT TIMED OUT 85M DOWN SO USED WIRE OUT AND WIRE ANGLE,,2,101,201,2707,24.59,19.81,15.13,36.208,36.493,35.986,6.7,4.5,4
04,0317,057,B299,50670,25.9965,-91.4998,2413.39,11MAY2016:12:11:59,11MAY2016:12:35:04,23.08,O,01,03,333,Katsuwonus pelamis,1,,,,2,101,201,2379,24.35,19.62,14.88,35.413,36.482,35.947,6.7,4.6,4.2
04,0317,057,B299,50670,25.9965,-91.4998,2413.39,11MAY2016:12:11:59,11MAY2016:12:35:04,23.08,O,01,03,333,Thunnus spp,2,,,,2,101,201,2379,24.35,19.62,14.88,35.413,36.482,35.947,6.7,4.6,4.2
