"Cruise","Station","Gear","Fish","Length","LatDec","LonDec","DateTime","SST"
"GU1608",235,"6B3I",NA,3.5,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.5,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.5,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.5,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.5,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.5,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.5,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,2.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,4,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,4,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",236,"6B3I",NA,2.7,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.7,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.8,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.8,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.8,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.9,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.9,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.9,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,3,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,3.1,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,3.1,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,3.2,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,3.2,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,3.3,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,2.8,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,NA,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",236,"6B3I",NA,NA,37.0016666666667,73.8983333333333,2016-06-20 00:22:26,24.62
"GU1608",240,"6B3I",NA,8.2,36.6483333333333,74.3016666666667,2016-06-20 05:49:32,26.7
"HB1603",125,"6B3",NA,3.5,39.7333333333333,70.1266666666667,2016-08-01 22:47:09,26.13
"HB1603",16,"6B3",NA,2.7,37.4133333333333,71.905,2016-07-01 02:25:19,28.33
"HB1603",36,"6B3",NA,3.5,38.3833333333333,69.875,2016-07-04 22:59:26,28.05
"HB1603",42,"6B3",NA,4.3,37.8366666666667,68.9316666666667,2016-07-06 15:58:56,27.69
"HB1603",51,"6B3",NA,3.3,38.905,67.9433333333333,2016-07-08 01:26:08,25.56
"HB1603",51,"6B3",NA,3,38.905,67.9433333333333,2016-07-08 01:26:08,25.56
"HB1603",51,"6B3",NA,3.3,38.905,67.9433333333333,2016-07-08 01:26:08,25.56
"HB1603",52,"6B3",NA,3.8,38.775,67.9783333333333,2016-07-08 02:34:40,25.67
"HB1603",52,"6B3",NA,2.2,38.775,67.9783333333333,2016-07-08 02:34:40,25.67
